iter,accept,e,e_std,e_err95,e_var,e_var_std,e_var_err95
0,0.46757558083017403,-2.17032967032967,0.31080542235674835,0.6091674340189869,582.7350780532599,11.53557901009645,22.60931940060525
1,0.46388159813356666,-2.0364010989010994,0.29251753394994295,0.5733238313883607,584.0083753520316,10.940882081819323,21.44373483946548
2,0.46141732283464565,-3.0250686813186816,0.2633970836516351,0.5162487975900887,598.8175459932453,11.038788172956211,21.63562725196088
3,0.46023135996889275,-3.45260989010989,0.2742201916082952,0.5374616993859314,601.8724774503995,10.056968309927024,19.711295681117623
4,0.4530766987459901,-4.371909340659341,0.2890325735291132,0.5664934344759869,598.2779930761325,11.378009105878494,22.30048806329063
5,0.4463546223388743,-4.961881868131869,0.29211472867672733,0.5725343475600753,591.3152996340434,10.892633124644762,21.349168621111726
6,0.4368960824341402,-6.441964285714285,0.27623623812164844,0.5414130779432612,587.1770996860281,10.590877592130283,20.757738645247642
7,0.4279819189268008,-7.735920329670329,0.2756135964334941,0.5401927226592055,603.3233340571627,10.747675619620415,21.065057131975223
8,0.4168756683192379,-9.506868131868131,0.3115787804355476,0.6106831880005865,595.0322387680029,11.14349854763412,21.840855815137274
9,0.40288713910761154,-11.381181318681318,0.3008020495902191,0.5895611836726607,610.7703940110284,11.382598949966924,22.309483992398608
10,0.38350831146106734,-14.10782967032967,0.3356237569258436,0.657810475930679,639.0559379431758,12.211057035476125,23.933232002697647
11,0.3670360649363274,-16.94574175824176,0.3324042006433759,0.6515002615708426,605.5509847572785,11.765239092492786,23.05944489078857
12,0.3459998055798581,-19.645947802197806,0.3906369231968508,0.7656343004973667,647.3716302082311,12.763789089754306,25.01656692218372
13,0.32187226596675417,-23.220467032967033,0.3441142022844495,0.6744514430462518,617.354266848148,11.627798367778977,22.790066020340422
14,0.30361135413628854,-27.61504120879121,0.38042506780019597,0.7456194317045923,650.9366832662288,12.741461734464448,24.972806109945566
15,0.2830611451346359,-32.12534340659341,0.41174285576478015,0.8070011681906393,638.7482911693702,13.015097361632842,25.509122084082648
16,0.2617429765723729,-36.58447802197803,0.45215363286212956,0.8862048358887202,659.8002211325138,13.28948112612848,26.046904380436622
17,0.23911733255565276,-41.9996565934066,0.4631482190734171,0.9077538288877643,653.6007283661504,13.651056352300854,26.755578801436396
18,0.22403519004568873,-46.4478021978022,0.44584977272009574,0.8738494970467563,654.4776882153255,14.68065531391042,28.773555684710985
19,0.20369884320015555,-52.083104395604394,0.46070626872853315,0.9029676941597568,671.6301139614077,14.976746443632871,29.353883635108765
20,0.1865752891999611,-58.332074175824175,0.5051568230900605,0.9900891798011902,651.4777888472943,14.455830974894795,28.332908077392336
21,0.173665791776028,-63.57039835164835,0.4758777904294789,0.9327033302842783,605.9263808743705,14.695504947353124,28.802660431442305
22,0.16066394478467969,-67.95776098901099,0.48799955110749166,0.9564615446423971,617.1377316559009,15.214591762472773,29.820051893926422
23,0.14471177213959366,-73.97527472527473,0.48907062815420577,0.9585608170786243,598.8620967222367,14.771681610111225,28.951963946910638
24,0.13324098376591814,-77.83138736263734,0.5155009733352013,1.0103633417323372,625.6972514872741,15.93101591379985,31.224217428182165
25,0.11943229318557402,-83.22836538461539,0.45384546266710263,0.8895207613744388,563.7174086181329,14.21509188778791,27.86106813699179
26,0.11200544376397395,-87.91208791208791,0.53225654856972,1.0432036657322452,538.2451102288763,15.375595349527297,30.135613125935045
27,0.10090405365995918,-93.47458791208791,0.48248684544957304,0.9456568400955064,475.58146044209985,14.321425648109566,28.06947847756295
28,0.092082239720035,-97.06421703296704,0.5062524412511339,0.992236551937702,565.4801990869049,18.38847068423795,36.04074027187699
29,0.085962865752892,-100.43543956043956,0.49064139127979833,0.9616394562330293,555.8162086276473,17.736022991676016,34.76196629265934
30,0.07546903859239817,-104.27575549450549,0.48550662892504926,0.951575506948549,506.02282202063674,16.79834748460715,32.92415606961902
31,0.06849421600077768,-109.89800824175823,0.4752675245992673,0.931507231236068,393.2635412789009,13.459137423473026,26.379424612982348
32,0.06614173228346457,-114.6871565934066,0.451657088170161,0.8852316261757472,395.3428011243945,14.671360296820007,28.75533778597809
33,0.060338291046952465,-118.62912087912089,0.46080790927532306,0.9031669059708339,349.82653597651097,12.362461825344713,24.229979937926934
34,0.053878681831437736,-121.02403846153845,0.44671361356576383,0.8755425939926404,324.2233397222158,12.741962034112467,24.97378667923716
35,0.04924176144648586,-124.46497252747254,0.43285492103955114,0.8483800557684491,299.1536185953019,10.01194079036701,19.623043364466824
36,0.04611645766501409,-125.94677197802197,0.46739268326259387,0.9160728258322209,321.718408533968,15.427027751954595,30.236418782330922
37,0.04177602799650044,-128.07451923076925,0.43289250013043945,0.848453709433162,283.18180682953414,9.779793483448458,19.168043003798495
38,0.039423544279187324,-130.57108516483518,0.45587012504418506,0.8934890267143736,284.69818948533987,11.549911414545063,22.637410397136392
39,0.036643336249635464,-131.24416208791212,0.4152794054013236,0.8139326781078026,351.2704638504464,15.837055893159254,31.04005917173996
40,0.03338679887236318,-132.79739010989013,0.38143257237636835,0.7475941043881494,368.2409661046025,12.120091749670564,23.754943318675355
41,0.03067949839603383,-136.0264423076923,0.3610060959774371,0.7075589463151868,319.315318159474,11.680819374350959,22.893985283645566
42,0.029303975891902402,-136.33035714285714,0.38373651057196606,0.7521097402741271,331.78953990842103,10.557573191902481,20.692463220274444
43,0.026601535919121223,-138.16964285714286,0.33206232151529075,0.6508301907927297,330.0345930293483,12.577689205396894,24.65181785131612
44,0.024521240400505493,-138.80116758241758,0.37726799642798836,0.739431685518443,367.6068160180922,14.945259363749836,29.29217009255968
45,0.022805482648002334,-139.55597527472528,0.3284391430270183,0.6437288914461555,403.1271491370767,11.451901338414983,22.445314177799407
46,0.021352192087100222,-141.31456043956044,0.3811232011927125,0.7469877480103294,366.7486625373739,14.342360234288579,28.110509512505068
47,0.019092057937202294,-143.39526098901098,0.3512017669371935,0.6883428145037293,287.1001277693336,8.618074425474903,16.891115490016528
48,0.018985126859142606,-142.8492445054945,0.34518933549749586,0.6765586654224055,324.27041501067475,11.349806544252553,22.245212058232017
49,0.017979002624671916,-144.22355769230768,0.30924764957158146,0.6061142554639631,314.5068608339712,8.743151390028164,17.13626183583651
50,0.015762613006707494,-144.4539835164835,0.31929985681640305,0.6258162196289461,367.46976032902603,13.329147395888508,26.124648840567325
51,0.015111305531253038,-146.51339285714286,0.31087965225454595,0.6093129219452462,310.18762989286216,8.638529905938372,16.93120749501139
52,0.01357538641003208,-148.14732142857142,0.3679237215496438,0.7211172432952452,342.58025147929,11.714461789112804,22.95992320493174
53,0.013152522601341499,-148.39457417582415,0.29484600536637695,0.5778875515036024,313.92414949214395,9.345303126085891,18.316457551737926
54,0.012209584912996986,-149.59649725274724,0.2743849454502921,0.5377846109825598,281.58032500577457,6.900945745070504,13.525605119603117
55,0.01191795470010693,-150.87259615384616,0.2813244913360587,0.5513858709877255,404.3626507802332,10.549019517347038,20.6756983262103
56,0.010522990181782833,-149.3434065934066,0.2665164920970466,0.5223627257961653,443.4730057100187,8.437631594590714,16.537454040215067
57,0.01056673471371634,-149.46050824175822,0.2966224500023032,0.5813693190105471,424.8478214745073,9.982206192399833,19.56476462335638
58,0.009667541557305337,-150.7403846153846,0.2733590513382663,0.5357738954710377,427.9333189149624,9.970818370587546,19.542444902741934
59,0.009677262564401672,-152.4217032967033,0.25609461455892857,0.501936221170167,378.1986709871326,10.115785703095266,19.82657565339191
