iter,accept,e,e_std,e_err95,e_var,e_var_std,e_var_err95
0,0.2852090988626422,-4.723620129870132,0.4108647930526569,0.8052801968987101,2187.0983781553114,28.057624212933213,54.991932949108076
1,0.2843657042869641,-10.04890422077922,0.4255787844904611,0.8341190901856371,2108.276186835143,31.079380526160964,60.914466493091005
2,0.2832003499562555,-14.81513798701299,0.3955003901719422,0.7751665206085459,2056.8351869371886,28.783642368450963,56.414902386045064
3,0.27540507436570427,-21.41233766233767,0.401545327584711,0.7870143802263715,2118.837789842525,32.80450713153241,64.29565250839089
4,0.26975503062117234,-25.2775974025974,0.4104811675792147,0.8045283047872113,2202.3734738662934,29.12254006289938,57.079129661607624
5,0.26296412948381453,-32.74472402597403,0.4211319410246731,0.8254034371478054,2181.295213155975,33.94015178714148,66.52147513262005
6,0.2551321084864392,-39.20799512987013,0.4214008396746691,0.825930468817289,2073.023221315398,32.0884520391718,62.89221031641758
7,0.24400349956255468,-46.55499188311688,0.4760898644433927,0.9331189877136061,2100.405699258284,41.92738347963346,82.17616158608124
8,0.23281889763779529,-54.78165584415584,0.4671250198772478,0.9155482152369625,2189.33830283353,35.903135633134916,70.36885277300111
9,0.21992825896762905,-63.31838474025974,0.5323124514766223,1.0433132334164048,2171.290085385394,47.05344129934862,92.22305029539287
10,0.20467891513560804,-74.53997564935067,0.543854476607691,1.0659351869819558,2166.352531070328,42.0445308279576,82.40576616968092
11,0.19299212598425197,-84.1994724025974,0.6093167105699399,1.1942388078954982,2146.359976865043,54.309889151826646,106.44542674194281
12,0.1776010498687664,-95.16497564935064,0.6103736717650751,1.1963104137710197,2264.147865375134,42.472988255662244,83.24552729689069
13,0.16412423447069116,-106.42451298701299,0.6570445466366406,1.2877836476462634,2230.7386220273233,52.23981732128377,102.38816050866788
14,0.14969028871391077,-118.86830357142857,0.7182661095857104,1.407775706103692,2371.1688776296132,55.117562531893434,108.02843747814545
15,0.13595100612423447,-131.70353084415584,0.8335444684521935,1.6337171376788826,2050.6353209103586,61.513497710113356,120.56424007490926
16,0.12449168853893264,-146.05986201298703,0.7591226983832398,1.4878531486780122,1953.864928212397,46.147926619048214,90.44827413453176
17,0.11203674540682415,-156.0872564935065,0.6683799477237865,1.3100006255273857,2062.4351399873854,43.9230969643884,86.08768813966184
18,0.1011758530183727,-167.46651785714286,0.697800599930536,1.3676640442542936,1623.702140495618,38.082952741639595,74.64121579855451
19,0.08839545056867891,-177.2234172077922,0.6135406580776175,1.202517592883134,1903.3051985165187,45.150062476600525,88.49249635387035
20,0.08299387576552932,-189.22869318181822,0.647803628889604,1.2696717816779746,2471.6222648205944,51.91265374938934,101.74693169070132
21,0.07209273840769903,-203.98295454545456,0.5489277418036959,1.0758786040501458,1481.8276083032854,31.083267602634482,60.922085022984255
22,0.06485214348206474,-207.35754870129873,0.5675246953779236,1.1123279632777956,2472.2511082199517,44.81275251077521,87.8313809692263
23,0.05873665791776028,-215.429586038961,0.6633150091463806,1.3000735283317626,1549.6149799713276,51.37184602094736,100.6869680203941
24,0.05232720909886264,-226.02353896103895,0.4992323194070401,0.9784773659561953,1281.0905194805196,29.031976930981294,56.901629184721024
25,0.046748906386701664,-233.20211038961037,0.480576642808627,0.9419129117160788,1170.501981981555,24.702060680784037,48.41514927825968
26,0.04342607174103237,-237.28551136363635,0.4506352866691153,0.8832289320343487,1407.7590075970481,39.22477724070062,76.87915069337961
27,0.0392930883639545,-244.92228084415586,0.4452577899751366,0.8726892321871672,1132.7734128234404,29.142088331140673,57.11744356332069
28,0.035559055118110236,-249.21205357142858,0.4206379220832632,0.8244351778149613,1094.3265670618096,20.03523872484709,39.2683463223625
29,0.03322134733158355,-252.9364853896104,0.4486211822691885,0.8792813599493886,1074.0769787130953,26.395153909889085,51.7335510297742
30,0.03010148731408574,-257.14001623376623,0.48050861773237413,0.9417795850165777,1114.965804772151,45.042076786577304,88.28084829057913
31,0.027571303587051618,-259.387987012987,0.39421981187348865,0.7726566332641933,1143.227275783657,27.33477807738754,53.5751805570746
32,0.02530358705161855,-262.2467532467532,0.3828843181208588,0.7504394737620601,1158.391861083472,23.119581256925155,45.31354660122058
33,0.023611548556430446,-265.63920454545456,0.37285158722182826,0.730775682533378,1108.9526287897916,24.276427712409337,47.580923989612394
34,0.02136482939632546,-269.19074675324674,0.3475714041304272,0.6812274341516535,1090.1438159343154,24.464008322353184,47.94857522930039
35,0.019800524934383203,-270.47564935064935,0.3528020888579163,0.6914793878320159,1138.6708544926603,17.912955699328116,35.1087480273446
